3.23,2
3.64,3
4.04,1
4.38,2
4.57,0
4.82,3
5.06,1
5.28,2
5.48,0
5.68,3
5.87,1
6.31,2
6.51,0
6.94,3
7.38,1
7.74,2
8.01,2
8.01,0
8.43,3
8.44,1
8.81,2
8.81,0
9.21,3
9.22,1
9.63,0
9.64,2
9.85,3
9.87,1
10.2,2
10.21,0
10.6,3
10.61,1
10.98,0
10.99,2
11.19,3
11.21,1
11.64,0
11.65,2
12.07,3
12.08,1
12.45,0
12.48,2
12.85,3
12.86,1
13.06,2
13.1,0
13.45,3
13.46,1
13.84,0
13.86,2
14.26,3
14.27,1
14.5,2
14.51,0
14.75,3
14.75,0
14.95,3
14.97,1
15.36,3
15.37,0
15.61,2
15.63,1
15.82,3
15.83,0
16.2,2
16.44,0
16.62,3
16.84,1
17.01,2
17.23,3
17.43,0
17.62,2
17.85,1
18.07,3
18.27,2
18.49,1
18.58,3
18.67,1
18.94,2
19.14,0
19.33,3
19.53,1
19.73,2
19.92,0
20.1,3
20.24,1
20.3,2
20.55,0
20.71,3
21,2
21.39,0
21.58,1
21.77,2
21.95,3
22.15,3
22.34,2
22.55,1
22.76,3
22.97,0
23.17,2
23.42,1
23.61,3
23.83,2
24.01,0
24.2,3
24.4,2
24.57,1
24.78,3
25,0
25.21,2
25.46,3
25.73,2
25.94,1
26.2,3
26.38,0
26.61,2
26.86,1
27.06,3
27.25,2
27.47,1
27.7,3
27.97,0
28.14,2
28.49,1
28.68,3
28.88,0
29.31,0
29.54,1
29.73,2
29.94,3
30.17,2
30.36,1
30.56,0
30.76,3
31.02,0
31.22,2
31.37,1
31.58,3
31.81,2
32.03,1
32.21,0
32.43,3
32.61,2
32.82,1
33.04,3
33.24,0
33.45,2
33.63,0
33.84,3
34.04,1
34.23,2
34.46,0
34.67,3
34.9,1
35.11,2
35.29,0
35.5,3
35.73,1
35.9,2
36.1,0
36.3,3
36.51,2
36.75,1
36.96,3
37.17,2
37.37,0
37.55,3
37.77,1
37.98,2
38.18,3
38.41,0
38.61,2
38.8,1
39.02,3
39.11,0
39.2,2
39.45,1
39.63,3
39.84,2
40.03,0
40.25,3
40.36,1
40.42,2
40.66,0
40.83,3
41.07,1
41.27,2
41.49,0
41.69,3
41.88,1
41.99,2
42.04,1
42.28,3
42.44,0
42.66,2
42.95,3
43.16,1
43.35,2
43.62,3
43.71,0
43.86,2
44.08,0
44.23,2
44.6,1
44.95,3
45.26,0
45.55,2
45.77,1
46,1
46.21,2
46.38,0
46.6,2
46.84,1
46.95,2
47.04,0
47.27,3
47.45,1
47.65,2
47.86,3
48.07,1
48.17,3
48.24,1
48.51,2
48.69,0
48.92,3
49.08,1
49.31,2
49.51,0
49.73,3
49.91,1
50.15,2
50.25,0
50.32,3
50.54,1
50.72,2
50.9,0
51.12,3
51.34,2
51.53,1
51.56,3
51.83,2
51.84,0
52.16,0
52.17,2
52.38,3
52.38,1
52.58,2
52.79,0
52.98,3
53.14,1
53.39,2
53.5,0
53.56,2
53.81,1
53.96,3
54.17,0
54.36,2
54.58,1
54.82,3
54.85,1
55.15,2
55.5,0
55.71,3
55.91,1
56.07,2
56.32,3
56.35,0
56.56,2
56.75,1
56.93,3
57.18,2
57.35,0
57.58,1
57.77,3
57.95,0
58.13,2
58.3,1
58.49,3
58.9,3
59.07,2
59.16,1
59.27,0
59.38,1
59.52,2
59.71,3
59.87,0
60.02,3
60.19,2
60.32,0
60.41,1
60.56,2
60.63,3
60.81,3
60.94,3
61.02,2
61.14,1
61.25,0
62.17,0
62.37,2
62.59,1
62.81,3
63.02,2
63.17,1
63.26,0
63.38,3
63.53,2
63.69,1
63.79,0
63.92,1
64.06,2
64.17,3
64.36,1
64.43,3
64.54,2
64.67,1
64.68,0
64.71,0
64.81,2
64.9,3
65.06,0
65.19,2
65.3,1
65.42,3
65.57,2
65.58,0
65.77,2
65.9,1
65.99,3
66.11,0
66.2,2
66.31,1
66.41,2
66.49,1
66.61,3
66.76,0
66.89,3
67.01,1
67.13,2
67.41,0
67.46,3
67.62,1
67.77,2
67.99,0
68.08,3
68.2,1
68.27,2
68.38,0
68.52,3
68.74,1
